ip.len,ip.flags.df,ip.flags.mf,tcp.port,tcp.window_size,tcp.ack_raw,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size.1,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,udp.length,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,gtp.ext_hdr,gtp.ext_hdr.length,gtp.ext_hdr.pdu_ses_con.pdu_type,gtp.ext_hdr.pdu_ses_con.qos_flow_id,gtp.ext_hdr.pdu_ses_cont.ppp,gtp.ext_hdr.pdu_ses_cont.rqi,gtp.flags,gtp.flags.e,gtp.flags.payload,gtp.flags.pn,gtp.flags.reserved,gtp.flags.s,gtp.flags.version,gtp.length,gtp.message,gtp.teid,label
96,1,0,45186.0,0.0,154182812.0,0.0,0.0,0.0,64,17,64128.0,278.0,75.0,0.0,898.0,0.0,16,0.001819,0.0,0.0,0.0,2152,76,1515.900159,0.001819,0.439851,0.001819,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,60,255,146,0
155,1,0,33642.0,0.0,664366607.0,0.0,0.0,0.0,64,17,64256.0,1.0,1.0,71.0,897.0,0.0,24,0.0,0.0,0.0,1.0,2152,135,1512.507329,0.0,0.044871,0.0,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,119,255,138,0
169,1,0,52490.0,0.0,2965223451.0,0.0,0.0,0.0,64,17,64256.0,1.0,1.0,73.0,613.0,0.0,24,0.0,0.0,0.0,1.0,2152,149,1031.030471,0.000101,0.14556,0.000101,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,133,255,146,0
104,1,0,58434.0,0.0,0.0,0.0,0.0,0.0,64,17,64240.0,0.0,0.0,0.0,916.0,0.0,2,0.0,0.0,0.0,0.0,2152,84,1547.398897,0.001986,0.0,0.0,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,68,255,146,0
372,1,0,80.0,0.0,3629538984.0,0.0,0.0,0.0,64,17,29056.0,74.0,1.0,276.0,277.0,0.0,24,0.0,0.0,0.0,0.0,2152,352,463.679955,0.001402,0.291915,0.001402,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,336,255,1,0
100,1,0,0.0,0.0,0.0,0.0,0.0,0.0,64,17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2152,80,1700.214429,0.000135,0.0,0.0,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,64,255,142,0
307,1,0,80.0,0.0,3225485466.0,0.0,0.0,0.0,64,17,4194304.0,72.0,1.0,223.0,948.0,0.0,24,0.0,0.0,0.0,0.0,2152,287,1599.715797,0.003296,0.093282,0.003296,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,271,255,1,0
195,1,0,0.0,0.0,0.0,0.0,0.0,0.0,64,17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2152,175,242.946337,0.001287,0.0,0.0,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,159,255,1,0
28,0,0,0,0,0,0,0,0,63,17,0,0,0,0,0,0,0,0,0,0,0,8329,8,0.17487,8e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,1,0,80.0,0.0,4042735543.0,0.0,0.0,0.0,64,17,4194304.0,72.0,1.0,0.0,790.0,0.0,16,0.043994,0.0,0.0,0.0,2152,64,1333.113775,0.043994,0.089767,0.043994,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,48,255,1,0
96,1,0,80.0,0.0,2313441684.0,0.0,0.0,0.0,64,17,29056.0,75.0,277.0,0.0,286.0,0.0,17,0.190138,0.0,0.0,0.0,2152,76,479.929404,0.190138,0.575273,0.190138,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,60,255,1,0
170,1,0,58720.0,0.0,692190806.0,0.0,0.0,0.0,64,17,64256.0,1.0,1.0,74.0,544.0,0.0,24,0.0,0.0,0.0,1.0,2152,150,915.810094,1e-06,0.015244,1e-06,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,134,255,142,0
116,1,0,0.0,0.0,0.0,0.0,0.0,0.0,64,17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2152,96,1032.914954,0.014416,0.0,0.0,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,80,255,1,0
28,0,0,0,0,0,0,0,0,63,17,0,0,0,0,0,0,0,0,0,0,0,8414,8,0.175582,8e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116,1,0,0.0,0.0,0.0,0.0,0.0,0.0,64,17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2152,96,1516.868151,0.000934,0.0,0.0,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,80,255,1,0
96,1,0,80.0,0.0,4036574713.0,0.0,0.0,0.0,64,17,65535.0,1.0,0.0,0.0,474.0,0.0,18,0.043808,0.0,0.0,0.0,2152,76,794.829911,0.043808,0.043808,0.043808,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,60,255,1,0
155,1,0,53668.0,0.0,2242733511.0,0.0,0.0,0.0,64,17,64256.0,1.0,1.0,71.0,265.0,0.0,24,0.0,0.0,0.0,1.0,2152,135,446.276906,0.000209,0.04519,0.000209,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,119,255,138,0
155,1,0,43912.0,0.0,1092338722.0,0.0,0.0,0.0,64,17,64256.0,1.0,1.0,71.0,575.0,0.0,24,0.0,0.0,0.0,1.0,2152,135,969.118865,9.8e-05,0.045558,9.8e-05,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,119,255,138,0
267,1,0,0.0,0.0,0.0,0.0,0.0,0.0,64,17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2152,247,495.524961,6.9e-05,0.0,0.0,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,231,255,1,0
104,1,0,45030.0,0.0,0.0,0.0,0.0,0.0,64,17,64240.0,0.0,0.0,0.0,371.0,0.0,2,0.0,0.0,0.0,0.0,2152,84,625.434653,0.001687,0.0,0.0,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,68,255,142,0
97,1,0,0.0,0.0,0.0,0.0,0.0,0.0,64,17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2152,77,1620.102047,1.271421,0.0,0.0,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,61,255,138,0
84,1,0,45744.0,0.0,3415098330.0,0.0,0.0,0.0,64,17,64256.0,1.0,1.0,0.0,37.0,0.0,16,0.00174,0.0,0.0,0.0,2152,64,66.974342,0.000767,0.045053,0.00174,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,48,255,138,0
96,1,0,52910.0,0.0,1185656312.0,0.0,0.0,0.0,64,17,64128.0,530.0,76.0,0.0,718.0,0.0,16,0.001404,0.0,0.0,0.0,2152,76,1211.381595,0.001404,0.076979,0.001404,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,60,255,142,0
84,1,0,80.0,0.0,542763029.0,0.0,0.0,0.0,64,17,4194304.0,72.0,1.0,0.0,927.0,0.0,16,0.042884,0.0,0.0,0.0,2152,64,1563.801385,0.042884,0.088092,0.042884,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,48,255,1,0
96,1,0,80.0,0.0,1826097830.0,0.0,0.0,0.0,64,17,29056.0,75.0,277.0,0.0,207.0,0.0,17,0.188097,0.0,0.0,0.0,2152,76,356.646915,0.188097,0.569344,0.188097,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,60,255,1,0
96,1,0,36178.0,0.0,445556991.0,0.0,0.0,0.0,64,17,64128.0,529.0,75.0,0.0,773.0,0.0,16,0.001846,0.0,0.0,0.0,2152,76,1303.032234,0.001846,0.061537,0.001846,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,60,255,142,0
